company,sector,city,website,website_status,contact_name,email,phone,source_url,personalization_hook,estimated_ticket,priority
AAR Hospital,Clinic,Nairobi,https://aarhospital.com,okay,,info@aarhospital.com,+254730082000,https://aarhospital.com/,"Premium private hospital brand; can optimize patient journey from discovery to appointment booking.",high,1
MP Shah Hospital,Clinic,Nairobi,https://mpshahhosp.org,okay,,info@mpshahhospital.org,+254111000600,https://mpshahhosp.org/,"217-bed facility with strong reputation; service-line landing pages can drive specialty appointments.",high,2
Karen Hospital,Clinic,Nairobi,https://karenhospital.org,okay,,info@karenhospital.org,+254206613000,https://karenhospital.org/,"Level 5 private hospital in Karen; ideal for localized SEO and patient acquisition funnel.",high,2
Gertrude's Children's Hospital,Clinic,Nairobi,https://www.gerties.org,okay,,info@gerties.org,+254207206000,https://www.gerties.org/,"Leading pediatric hospital; specialist pages and parent trust signals can boost appointments.",high,1
Avenue Healthcare,Clinic,Nairobi,https://www.avenuehealthcare.com,okay,,info@avenuehealthcare.com,+254711060000,https://www.avenuehealthcare.com/,"Multi-branch healthcare network; each location page can be optimized for local search.",high,3
Mediheal Group of Hospitals,Clinic,Nairobi,https://medihealgroup.com,okay,,info@medihealgroup.com,+254722218416,https://medihealgroup.com/,"Large healthcare provider with regional presence; centralized booking + service-line microsites opportunity.",high,2
Mater Misericordiae Hospital,Clinic,Nairobi,https://www.materkenya.com,okay,,inform@materkenya.com,+254206903000,https://www.materkenya.com/,"Leading cardiac center; specialty landing pages for high-value procedures can drive referrals.",high,2
Brookhouse School,School,Nairobi,https://www.brookhouse.ac.ke,okay,,admissions@brookhouse.ac.ke,+254733400100,https://www.brookhouse.ac.ke/,"Premium British curriculum school; admissions conversion optimization can increase enrollment inquiries.",high,1
International School of Kenya,School,Nairobi,https://www.isk.ac.ke,okay,,admissions@isk.ac.ke,+254733639000,https://www.isk.ac.ke/,"IB World School on 40 acres; can optimize tour booking and application completion rates.",high,1
Peponi School,School,Nairobi,https://www.peponischool.com,okay,,info@peponischool.com,+254724256173,https://www.peponischool.com/,"Premium boarding school; virtual tour and inquiry automation can support parent decision journey.",high,2
Crawford International School,School,Nairobi,https://www.crawfordinternationalschool.com,okay,,info@crawfordinternationalschool.com,+254799500000,https://www.crawfordinternationalschool.com/,"Tatu City campus; admissions funnel optimization can capture growing expatriate families.",high,2
Light International School,School,Nairobi,https://www.lightacademy.ac.ke,okay,,info@lightacademy.ac.ke,+254722207000,https://www.lightacademy.ac.ke/,"International curriculum; enrollment pages with clear next steps can improve conversion.",mid,2
Ortam Law Advocates LLP,Law Firm,Nairobi,https://ortamlaw.co.ke,okay,,info@ortamlaw.co.ke,+254722555000,https://ortamlaw.co.ke/,"Corporate and commercial law focus; practice-area pages can attract high-value corporate clients.",high,2
Muthoga Gachuba & Company Advocates,Law Firm,Nairobi,https://www.muthogagachuba.co.ke,okay,,info@muthogagachuba.co.ke,+254722516000,https://www.muthogagachuba.co.ke/,"Established firm; consultation booking system can streamline client acquisition.",high,2
Mboya Wangong'u & Waiyaki Advocates,Law Firm,Nairobi,https://www.mwwadvocates.co.ke,okay,,info@mwwadvocates.co.ke,+254202460000,https://www.mwwadvocates.co.ke/,"Full-service firm; trust-building website structure can increase consultation bookings.",high,2
Mitchell Cotts Group,Logistics,Nairobi,https://www.mitchellcottsgroup.com,okay,,kenya@mitchellcotts.com,+254206300000,https://www.mitchellcottsgroup.com/,"International freight forwarder; service-line landing pages for each logistics vertical.",high,1
Perseus Forwarders,Logistics,Mombasa,https://perseusforwarders.com,okay,,info@perseusforwarders.com,+254722800000,https://perseusforwarders.com/,"East Africa and DRC logistics; capability pages can attract commercial contracts.",high,2
Sheffield Cargo,Logistics,Nairobi,https://sheffield.co.ke,okay,,info@sheffield.co.ke,+254733600000,https://sheffield.co.ke/,"Clearing and freight forwarding; inquiry forms ready for enterprise lead routing.",high,2
Tradewinds Logistics Ltd,Logistics,Nairobi,https://www.tradewinds.co.ke,okay,,info@tradewinds.co.ke,+254206500000,https://www.tradewinds.co.ke/,"Tailor-made logistics solutions; B2B inquiry funnel can improve enterprise pipeline.",high,2
Hemingways Nairobi,Hotel,Nairobi,https://www.hemingways-nairobi.com,okay,,reservations@hemingways.co.ke,+254730600000,https://www.hemingways-nairobi.com/,"Luxury boutique hotel; direct-booking optimization can reduce OTA dependency.",high,1
